restuarant_name,cuisine,rating,delivery_time,cost,restuarant_link,image_url,location
California Burrito,30% OFF,4.4,51 min,₹250 for one,https://www.zomato.com/chennai/california-burrito-nungambakkam/order,,chennai
Subway,30% OFF,4.1,40 min,₹200 for one,https://www.zomato.com/chennai/subway-kilpauk/order,,chennai
Chai Waale,₹101 OFF,4.6,37 min,₹100 for one,https://www.zomato.com/chennai/chai-waale-1-kilpauk/order,,chennai
The Pizza Project by Oven Story,₹101 OFF,4.1,34 min,₹100 for one,https://www.zomato.com/chennai/the-pizza-project-by-oven-story-1-purasavakkam/order,,chennai
The Biryani Life,₹101 OFF,4.0,29 min,₹100 for one,https://www.zomato.com/chennai/the-biryani-life-1-purasavakkam/order,,chennai
Palmshore,₹101 OFF,4.3,32 min,₹600 for one,https://www.zomato.com/chennai/palmshore-egmore/order,,chennai
ibaco,₹101 OFF,4.5,36 min,₹150 for one,https://www.zomato.com/chennai/ibaco-kilpauk/order,,chennai
Thalaiva Biryani,₹101 OFF,3.9,31 min,₹200 for one,https://www.zomato.com/chennai/thalaiva-biryani-1-purasavakkam/order,,chennai
McRennett,₹101 OFF,4.3,28 min,₹200 for one,https://www.zomato.com/chennai/mcrennett-egmore/order,,chennai
Hot Chips,30% OFF,4.7,,₹150 for one,https://www.zomato.com/chennai/hot-chips-nungambakkam/order,,chennai
The Creams,Flat 10% OFF,4.2,32 min,₹200 for one,https://www.zomato.com/chennai/the-creams-kilpauk/order,,chennai
Roll Baby Roll,30% OFF,4.3,41 min,₹200 for one,https://www.zomato.com/chennai/roll-baby-roll-thousand-lights/order,,chennai
Kombozz By Thalappakatti,₹101 OFF,4.1,34 min,₹100 for one,https://www.zomato.com/chennai/kombozz-by-thalappakatti-triplicane/order,,chennai
Dabba & Co,₹101 OFF,4.0,30 min,₹100 for one,https://www.zomato.com/chennai/dabba-co-2-purasavakkam/order,,chennai
Kakada Ramprasad,30% OFF,4.4,32 min,₹200 for one,https://www.zomato.com/chennai/kakada-ramprasad-kilpauk/order,,chennai
Shawarmajaan,₹101 OFF,4.1,33 min,₹40 for one,https://www.zomato.com/chennai/shawarmajaan-purasavakkam/order,,chennai
Murugan Idli Shop,30% OFF,4.2,18 min,₹100 for one,https://www.zomato.com/chennai/murugan-idli-shop-park-town/order,,chennai
Hot Breads,30% OFF,4.4,37 min,₹200 for one,https://www.zomato.com/chennai/hot-breads-kilpauk/order,,chennai
Sri Krishna Sweets,30% OFF,4.3,33 min,₹150 for one,https://www.zomato.com/chennai/sri-krishna-sweets-1-purasavakkam/order,,chennai
Writer's Cafe,₹101 OFF,4.1,36 min,₹250 for one,https://www.zomato.com/chennai/writers-cafe-egmore/order,,chennai
Madras Coffee House,30% OFF,4.5,40 min,₹100 for one,https://www.zomato.com/chennai/madras-coffee-house-2-nungambakkam/order,,chennai
BurgerMan,₹150 OFF,4.0,42 min,₹200 for one,https://www.zomato.com/chennai/burgerman-thousand-lights/order,,chennai
The Good Bowl,₹101 OFF,4.0,29 min,₹100 for one,https://www.zomato.com/chennai/the-good-bowl-1-purasavakkam/order,,chennai
Keventers - Milkshakes & Desserts,30% OFF,3.7,39 min,₹200 for one,https://www.zomato.com/chennai/keventers-milkshakes-desserts-kilpauk/order,,chennai
Behrouz Biryani,₹101 OFF,3.9,33 min,₹300 for one,https://www.zomato.com/chennai/behrouz-biryani-1-purasavakkam/order,,chennai
Firangi Bake,₹101 OFF,4.0,32 min,₹100 for one,https://www.zomato.com/chennai/firangi-bake-1-purasavakkam/order,,chennai
RNR Biryani - Taste Of 1953,₹101 OFF,4.2,34 min,₹100 for one,https://www.zomato.com/chennai/rnr-biryani-taste-of-1953-st-thomas-mount/order,,chennai
Indian Snack House,₹101 OFF,4.3,27 min,₹100 for one,https://www.zomato.com/chennai/indian-snack-house-park-town/order,,chennai
Brownie Heaven,₹101 OFF,4.3,36 min,₹300 for one,https://www.zomato.com/chennai/brownie-heaven-egmore/order,,chennai
Delhi Malai Chaap,30% OFF,3.9,35 min,₹100 for one,https://www.zomato.com/chennai/delhi-malai-chaap-kilpauk/order,,chennai
99 Square Pizza,30% OFF,4.3,33 min,₹40 for one,https://www.zomato.com/chennai/99-square-pizza-purasavakkam/order,,chennai
Lassi Shop,30% OFF,3.8,40 min,₹100 for one,https://www.zomato.com/chennai/lassi-shop-1-vepery/order,,chennai
Ratna Cafe,₹101 OFF,4.2,38 min,₹150 for one,https://www.zomato.com/chennai/ratna-cafe-1-kilpauk/order,,chennai
Faasos Signature Wraps & Rolls,₹101 OFF,3.7,42 min,₹100 for one,https://www.zomato.com/chennai/faasos-signature-wraps-rolls-purasavakkam/order,,chennai
Firdouse,₹101 OFF,4.3,37 min,₹250 for one,https://www.zomato.com/chennai/firdouse-1-triplicane/order,,chennai
Havmor Icecream,30% OFF,4.5,33 min,₹100 for one,https://www.zomato.com/chennai/havmor-icecream-purasavakkam/order,,chennai
Tibb's Frankie - Serving Rolls Since 1969,₹101 OFF,3.8,25 min,₹100 for one,https://www.zomato.com/chennai/tibbs-frankie-serving-rolls-since-1969-purasavakkam/order,,chennai
Honest bowl,₹101 OFF,4.2,29 min,₹200 for one,https://www.zomato.com/chennai/honest-bowl-purasavakkam/order,,chennai
Bikanervala,₹101 OFF,4.2,35 min,₹400 for one,https://www.zomato.com/chennai/bikanervala-purasavakkam/order,,chennai
Fusilli Reasons,₹101 OFF,4.3,33 min,₹150 for one,https://www.zomato.com/chennai/fusilli-reasons-kilpauk/order,,chennai
Starbucks Coffee,30% OFF,4.0,42 min,₹400 for one,https://www.zomato.com/chennai/starbucks-coffee-nungambakkam/order,,chennai
Bakers Spring,30% OFF,4.0,37 min,₹150 for one,https://www.zomato.com/chennai/bakers-spring-kilpauk/order,,chennai
Waf Bites,₹101 OFF,4.2,36 min,₹150 for one,https://www.zomato.com/chennai/waf-bites-egmore/order,,chennai
Delhi Tandoori Chaap,30% OFF,4.0,41 min,₹150 for one,https://www.zomato.com/chennai/delhi-tandoori-chaap-sowcarpet/order,,chennai
Hotel Farook,₹101 OFF,4.2,34 min,₹200 for one,https://www.zomato.com/chennai/hotel-farook-purasavakkam/order,,chennai
Hungsters,₹101 OFF,4.1,38 min,₹150 for one,https://www.zomato.com/chennai/hungsters-kilpauk/order,,chennai
Makhani Darbar,₹101 OFF,3.3,30 min,₹100 for one,https://www.zomato.com/chennai/makhani-darbar-1-purasavakkam/order,,chennai
Zahoor Briyani & Fast Food Centre,₹101 OFF,4.0,30 min,₹200 for one,https://www.zomato.com/chennai/zahoor-briyani-fast-food-centre-egmore/order,,chennai
Buhari Vintage Hotel,30% OFF,4.3,34 min,₹400 for one,https://www.zomato.com/chennai/buhari-vintage-hotel-kilpauk/order,,chennai
Udipi Hotel Sudha,₹101 OFF,4.2,28 min,₹300 for one,https://www.zomato.com/chennai/udipi-hotel-sudha-egmore/order,,chennai
Guest Hotel,₹101 OFF,4.2,30 min,₹150 for one,https://www.zomato.com/chennai/guest-hotel-kilpauk/order,,chennai
FB Sweets,₹101 OFF,4.0,39 min,₹100 for one,https://www.zomato.com/chennai/fb-sweets-egmore/order,,chennai
Old Madras Baking Company,₹101 OFF,4.2,44 min,₹200 for one,https://www.zomato.com/chennai/old-madras-baking-company-nungambakkam/order,,chennai
Barbeque Nation,30% OFF,3.9,44 min,₹650 for one,https://www.zomato.com/chennai/barbeque-nation-nungambakkam/order,,chennai
NOTO - Ice Creams & Desserts,₹101 OFF,3.7,28 min,₹100 for one,https://www.zomato.com/chennai/noto-ice-creams-desserts-egmore/order,,chennai
MilkyWay,₹101 OFF,4.3,39 min,₹200 for one,https://www.zomato.com/chennai/milkyway-egmore/order,,chennai
Palm Jumeira,₹101 OFF,4.2,40 min,₹400 for one,https://www.zomato.com/chennai/palm-jumeira-thousand-lights/order,,chennai
Coffee Shastra,Flat 10% OFF,3.8,39 min,₹100 for one,https://www.zomato.com/chennai/coffee-shastra-kilpauk/order,,chennai
Sri Vaishnavaa's Chat Shop,₹101 OFF,4.3,32 min,₹100 for one,https://www.zomato.com/chennai/sri-vaishnavaas-chat-shop-kilpauk/order,,chennai
Momo Kraft,Flat 30% OFF,4.0,34 min,for one,https://www.zomato.com/chennai/momo-kraft-egmore/order,,chennai
Bombaysthan,₹101 OFF,4.3,35 min,₹200 for one,https://www.zomato.com/chennai/bombaysthan-1-kilpauk/order,,chennai
Mathsya Egmore,30% OFF,4.3,32 min,₹500 for one,https://www.zomato.com/chennai/mathsya-egmore-egmore/order,,chennai
Tiffin Shastra,30% OFF,4.2,38 min,₹150 for one,https://www.zomato.com/chennai/tiffin-shastra-kilpauk/order,,chennai
City Square Cafeteria,30% OFF,4.0,35 min,₹100 for one,https://www.zomato.com/chennai/city-square-cafeteria-egmore/order,,chennai
Chennai Woodlands,30% OFF,4.1,30 min,₹200 for one,https://www.zomato.com/chennai/chennai-woodlands-egmore/order,,chennai
Fruit Shop On Greams Road,30% OFF,4.2,28 min,₹200 for one,https://www.zomato.com/chennai/fruit-shop-on-greams-road-1-egmore/order,,chennai
SSD Meat World And Restaurant,30% OFF,4.2,30 min,₹250 for one,https://www.zomato.com/chennai/ssd-meat-world-and-restaurant-kilpauk/order,,chennai
Veg Meals By LunchBox,30% OFF,3.6,39 min,₹100 for one,https://www.zomato.com/chennai/veg-meals-by-lunchbox-1-purasavakkam/order,,chennai
Chaap Master,30% OFF,4.0,31 min,₹200 for one,https://www.zomato.com/chennai/chaap-master-kilpauk/order,,chennai
Amadora Gourmet Ice Cream & Sorbet,30% OFF,4.6,44 min,₹200 for one,https://www.zomato.com/chennai/amadora-gourmet-ice-cream-sorbet-nungambakkam/order,,chennai
Kovilpatti Murukku Kadai,30% OFF,4.0,,₹350 for one,https://www.zomato.com/chennai/kovilpatti-murukku-kadai-kilpauk/order,,chennai
Darbar,30% OFF,3.7,36 min,₹200 for one,https://www.zomato.com/chennai/darbar-egmore/order,,chennai
Veg Darbar by Behrouz Biryani,30% OFF,3.6,37 min,₹100 for one,https://www.zomato.com/chennai/veg-darbar-by-behrouz-biryani-purasavakkam/order,,chennai
Nithya Amirtham Sweets,"Beverages, Desserts",4.5,,₹200 for one,https://www.zomato.com/chennai/nithya-amirtham-sweets-kilpauk/order,,chennai
Sri Keshav Chaats,30% OFF,3.6,37 min,₹150 for one,https://www.zomato.com/chennai/sri-keshav-chaats-vepery/order,,chennai
Juice Box,30% OFF,4.2,39 min,₹150 for one,https://www.zomato.com/chennai/juice-box-egmore/order,,chennai
Little Italy,30% OFF,4.2,42 min,₹450 for one,https://www.zomato.com/chennai/little-italy-1-nungambakkam/order,,chennai
Classic Malaysian Parrota,30% OFF,4.2,37 min,₹150 for one,https://www.zomato.com/chennai/classic-malaysian-parrota-triplicane/order,,chennai
Fooperis,30% OFF,3.6,26 min,₹100 for one,https://www.zomato.com/chennai/fooperis-purasavakkam/order,,chennai
