product_id,brand,product_name,image_url,selling_price,mrp_price,discount_percent,rating,comment_count,listing_type,source_page
,glitchez,Men Loose Jeans,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31596633/2025/4/11/eb4561d9-9582-4a5a-965a-8f4121d730a01744365565819-glitchez-Men-Jeans-241744365565297-1.jpg",Rs. 703,Rs. 2199,,,,Organic,keyword
,Sangria,Girls Embroidered Maxi Dress,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/FEBRUARY/1/Ki0eobeK_f5860c9692244d95831e9cbefc087854.jpg",Rs. 732,Rs. 3499,,,,Organic,keyword
,White World,Girls Printed Ethnic Dresses,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/AUGUST/12/kQ4apLqg_4e0b6cdd4c8c4c81a122d02113488339.jpg",Rs. 452,Rs. 2664,,,,Organic,keyword
,COLOR CAPITAL,Ruched Sheath Maxi Dress,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29838824/2024/5/29/4ec1b25c-56d2-474f-be34-36ae75f6eb191716967302675COLORCAPITALSheathMaxiDress1.jpg",Rs. 990,Rs. 3198,,,,Organic,keyword
,Marks & Spencer,Girls Print Fit & Flare Dress,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/AUGUST/21/ag7aRjNF_ab50fb7264764b0f86ab36e34066856d.jpg",Rs. 659,Rs. 999,,,,Organic,keyword
,QENA,Floral Print A-Line Midi Puff Sleeve Dress,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/21/zgj6DW3u_36eca24521264e14939d85baa3aa1b29.jpg",Rs. 491,Rs. 1999,,,,Organic,keyword
,PIMU,Print Maxi Flutter Sleeve Dress,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/OCTOBER/23/lkZKajic_2c70bc398c994f4da02804c1fc39608b.jpg",Rs. 552,Rs. 3999,,,,Organic,keyword
,SAFFE,Bodycon Midi Dress,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/18/H3BVJXSO_7092d446823c44d9bfcebdcb460ff984.jpg",Rs. 1238,Rs. 3499,,,,Organic,keyword
,CORSICA,Floral Printed Maxi Dress,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MARCH/10/mdCQydjy_3e900597b233415db1d0fb63f4a4b5c4.jpg",Rs. 778,Rs. 1999,,,,Organic,keyword
,SK DRESSES,Embellished  Fit & Flare Dress,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MARCH/18/ICzvqVfg_5dc2f54ffea142dcabeb30eb656c3f8d.jpg",Rs. 861,Rs. 999,,,,Organic,keyword
,OCTICS,Red Embroidery Midi Dress,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JULY/11/jyxyIrEx_0bca4b535dea4cab830ddf47d108984d.jpg",Rs. 1147,Rs. 5845,,,,Organic,keyword
,Bella Moda,Floral Print Fit & Flare Dress,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/16/bopbn5w5_5d019f514ccb485bbb08dfc727940a65.jpg",Rs. 630,Rs. 849,,,,Organic,keyword
,COLOR CAPITAL,Sheath Midi Dress,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/30/CHXybKCP_e8a15375a49f4d30adcc9036ca16f706.jpg",Rs. 990,Rs. 1980,,,,Organic,keyword
,Marks & Spencer,V-Neck Knee Length Wrap Dress,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/AUGUST/21/TVxa2rly_d23d0501197c424ebdff012f81aff72b.jpg",Rs. 1399,Rs. 3499,,,,Organic,keyword
,StyleCast,Sleeveless Maxi Bodycon Dress,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/22/ilVoARwJ_34a549736dac4f35ad225184aed326e9.jpg",Rs. 1165,Rs. 3149,,,,Organic,keyword
,COLOR CAPITAL,Bodycon Maxi Dress,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/30/L63sY4BM_3b0ab09e8100471f9f4d4cdbe36f9ebb.jpg",Rs. 790,Rs. 1580,,,,Organic,keyword
,StyleCast x Revolte,Strapless Sheath Dress,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/22/1AQ8r6IN_49e28ed28ce5412c8521fbe567d4f734.jpg",Rs. 879,Rs. 1999,,,,Organic,keyword
,QENA,Floral Print Georgette Fit & Flare Midi Puff Sleeve Dress,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/23/imkLcOVY_dadd981d303e43f588e491c5d12e71de.jpg",Rs. 491,Rs. 1999,,,,Organic,keyword
,COLOR CAPITAL,A-Line Mini Keyhole Neck Flared Sleeve Dress,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/30/Wl4Nr8sg_f09d7928a4054507864c18518281bc0a.jpg",Rs. 890,Rs. 1780,,,,Organic,keyword
,BAESD,Girls Printed A-Line Dress,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JANUARY/7/HegwgCOT_2d47f76ef1b541f4879d9b358fa99aeb.jpg",Rs. 359,Rs. 1999,,,,Organic,keyword
,PRENA FASHION,Girls Dresses,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/21/ekR0J4Ue_51e6045778d24b10825e8814704beb0f.jpg",Rs. 480,Rs. 999,,,,Organic,keyword
,COLOR CAPITAL,Bodycon Midi Dress,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/30/YYZS8JgZ_7a193f46d77a4b2a953fd54269ac082c.jpg",Rs. 790,Rs. 1580,,,,Organic,keyword
,Claura,Floral Printed Maxi Midi Dress,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JANUARY/22/QswNBQfs_2695334038d34f22a38a17f8584fc6bb.jpg",Rs. 705,Rs. 2939,,,,Organic,keyword
,QENA,Floral Print Georgette A-Line Maxi Puff Sleeve Dress,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/31/3P6c9LsM_a07a5c93242a430b909bdd8d92f86d2f.jpg",Rs. 491,Rs. 1999,,,,Organic,keyword
,COLOR CAPITAL,Dress,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/30/PeISKLNs_386a388fab7e4627b025177a74ad1dec.jpg",Rs. 990,Rs. 1980,,,,Organic,keyword
,Claura,Mandarin Collar A-Line Dress,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/24/FnCr5ye3_6e278e8c33174657b8cb55b6fadd0ccc.jpg",Rs. 666,Rs. 2899,,,,Organic,keyword
,Chemistry,Denim Fit & Flare Midi Dress,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/7/me3PW7UL_d2157054a7d04b77895d74e26c3d80a3.jpg",Rs. 987,Rs. 2599,,,,Organic,keyword
,SK DRESSES,Velvet Fit & Flare Dress,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/DECEMBER/17/xxUYJLM9_e187b1f782914e668de6f83b6f54b062.jpg",Rs. 288,Rs. 1499,,,,Organic,keyword
,Vero Moda,Fit and Flare Dress,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MARCH/12/4ADZkfP1_6ffc7270bfc14e29a8798ee0c99d53f3.jpg",Rs. 1119,Rs. 2799,,,,Organic,keyword
,QENA,Print Fit & Flare Midi Puff Sleeve Dress,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/13/gJAvU8dH_74f1d5568f44464794e8f88b85717247.jpg",Rs. 491,Rs. 1999,,,,Organic,keyword
,COLOR CAPITAL,Bodycon Maxi Halter Neck Dress,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/30/KDuT5gFp_eb0fba6672284bcbbc13b704b1b60654.jpg",Rs. 990,Rs. 1980,,,,Organic,keyword
,StyleCast,Men Tailored Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/24/tjlztGaF_822d160dea33450c94a27cc17dfdaf4c.jpg",Rs. 1424,Rs. 3849,,,,Organic,keyword
,StyleCast x Revolte,Men Outdoor Tailored Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/24/OPs0UQvR_2a332068033e4237ad820f5372059644.jpg",Rs. 1715,Rs. 5199,,,,Organic,keyword
,INCLUD,Boys Hooded Tailored Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26700650/2023/12/28/43354ad2-cd3e-42c5-b861-c310a15519b91703746873915INCLUDBoysBrownLightweightQuiltedJacket1.jpg",Rs. 859,Rs. 1999,,,,Organic,keyword
,FOREVER FRIDAY,Bomber Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/9/wGZthGRD_99e3e07e2c6949d48f68bca5a8fd610b.jpg",Rs. 1504,Rs. 3499,,,,Organic,keyword
,StyleCast x Revolte,Men Hooded Puffer Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/24/thBRPVpq_af053bb5c1554896a181e12d037f886a.jpg",Rs. 1762,Rs. 4299,,,,Organic,keyword
,FOREVER FRIDAY,Boys Quilted Bomber Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/NOVEMBER/10/8wkwhNgH_9bc5601a64664e68a14144d5d2fc214d.jpg",Rs. 1035,Rs. 2799,,,,Organic,keyword
,Jompers,Woven Design Nehru Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21804232/2023/2/2/befa3070-2f29-4a2e-bc35-758046a160841675315662609WovenDesignWaistcoat1.jpg",Rs. 927,Rs. 3199,,,,Organic,keyword
,Red Tape,Hooded Puffer Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24872990/2024/10/16/c7a34f43-c195-4871-ac71-f0f78cd51be31729096043424-Red-Tape-Men-Solid-Hooded-Padded-Jacket-5741729096042691-1.jpg",Rs. 1421,Rs. 10299,,,,Organic,keyword
,HRX by Hrithik Roshan,Solid Padded Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11846940/2020/9/25/4865add2-7c5e-4627-bee0-1c5840cfd72d1601029454113-HRX-by-Hrithik-Roshan-Men-Jackets-6241601029451849-1.jpg",Rs. 1479,Rs. 3999,,,,Organic,keyword
,YK,Girls Hooded Sherpa Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JULY/28/aI6Z77iv_f3c99d0ad53e4d3f8036386aaabfb536.jpg",Rs. 1055,Rs. 3299,,,,Organic,keyword
,Powerlook,Men Cotton Denim Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/NOVEMBER/20/APWWyp3L_a0129921d3f9443ba1551bc96ec4481a.jpg",Rs. 1547,Rs. 3599,,,,Organic,keyword
,StyleCast x Revolte,Girls Solid Bomber Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MARCH/3/P18FdezI_3df2c9c0b27448e7aabf27c6712e22d6.jpg",Rs. 1529,Rs. 3399,,,,Organic,keyword
,StyleCast,Men Checked Tailored Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/22/3l5wKyvw_d230707d312d440684237ded4a339987.jpg",Rs. 1539,Rs. 3849,,,,Organic,keyword
,Red Tape,Mock Collar Bomber Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24873022/2024/10/16/988abfb3-7653-4a69-b613-b9515fb2b5701729096170193-Red-Tape-Solid-Bomber-Jacket-1551729096169637-1.jpg",Rs. 1379,Rs. 9999,,,,Organic,keyword
,FTX,Men Printed Bomber Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/12/zuX9osPq_c417a6feb7644ed2815e103f0350c92e.jpg",Rs. 545,Rs. 2330,,,,Organic,keyword
,TANDUL,Leather Tailored Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/6/Y8mmg3Bb_62f63dbea3df421e9970166a56f7c42e.jpg",Rs. 693,Rs. 1499,,,,Organic,keyword
,COLOR CAPITAL,Lightweight Antimicrobial Training or Gym Sporty Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/NOVEMBER/7/E5XjoimM_f3360fe5e9674e89a326bff281de06ed.jpg",Rs. 790,Rs. 1580,,,,Organic,keyword
,HRX by Hrithik Roshan,Men Solid Bomber,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/4453292/2018/10/29/3d56873c-81f2-4933-ba4b-dab9a4a6feda1540804797889-HRX-by-Hrithik-Roshan-Men-Black-Solid-Bomber-949154080479606-1.jpg",Rs. 1399,Rs. 3999,,,,Organic,keyword
,Jompers,Woven Design Nehru Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21804242/2023/2/2/ed2fffe0-380e-4a62-a50a-d18039eaf55f1675315556829WovenDesignWaistcoat1.jpg",Rs. 927,Rs. 3199,,,,Organic,keyword
,Trendyol,Long Sleeves Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/OCTOBER/13/vbnZ6Vem_e57f869298dc4f0684a34f3d722c8cbe.jpg",Rs. 1399,Rs. 3499,,,,Organic,keyword
,HERE&NOW,Men Padded Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/25/LmsuDxQ5_2b31135eeb144eb59160140d0a415303.jpg",Rs. 1257,Rs. 3399,,,,Organic,keyword
,Alan Jones,Mock Collar Tailored Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/OCTOBER/9/ynB5fJ07_acfbc03b48724be5a50259dd48050837.jpg",Rs. 709,Rs. 1999,,,,Organic,keyword
,GAP,Boys Hooded Bomber Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/NOVEMBER/4/XleB3BVG_de450947514948b190f052d0440331cf.jpg",Rs. 1999,Rs. 3999,,,,Organic,keyword
,INCLUD,Boys Open Front Casual Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/14/qW5la2qY_2bf87d7282d24aafa4491e6c8f54750d.jpg",Rs. 614,Rs. 1499,,,,Organic,keyword
,StyleCast x Revolte,Men Solid Windcheater Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/24/Lmymwynh_0c2bfc47761f4874acbddb1aa9d36f69.jpg",Rs. 1559,Rs. 3999,,,,Organic,keyword
,Red Tape,Stand Collar Bomber Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24899572/2024/10/16/e0ce647b-fb42-408c-b211-2d86e91592491729096287528-Red-Tape-Men-Baseball-Collar-Bomber-Jacket-1311729096286957-1.jpg",Rs. 927,Rs. 6399,,,,Organic,keyword
,StyleCast,Windcheater Bomber Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26856432/2024/1/11/785f1e3d-c735-4f9b-b03b-bfc67b8a355a1704916688834StyleCastWomenBlackCheckedWindcheaterLonglineTailoredJacket1.jpg",Rs. 1462,Rs. 3749,,,,Organic,keyword
,FOREVER FRIDAY,Bomber Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/9/vKzW2czd_565d34fdf65e4321841d8840f0a1962c.jpg",Rs. 1117,Rs. 2599,,,,Organic,keyword
,NEXT,Washed Denim Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/13/QppRTRIp_7a74da9a5e3743e0b454f033bd476433.jpg",Rs. 1559,Rs. 2599,,,,Organic,keyword
,TRENDY WORLD,Boys Hooded Puffer Jacket,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/6/oOKbPznQ_fa0f827213ce4825a20848683c364820.jpg",Rs. 763,Rs. 1798,,,,Organic,keyword
