product_id,brand,product_name,image_url,selling_price,mrp_price,discount_percent,rating,comment_count,listing_type,source_page
,DAMN GUD DG,Girls Pack of 3 T-shirts,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/AUGUST/6/clNvRf2R_34355441690a4ff192840fc6a456b61e.jpg",Rs. 499,Rs. 1000,,,,Organic,keyword
,XYXX,Polo Collar Cotton T-shirt,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29132512/2024/4/23/a34a5c76-a6f4-42ed-baa7-9454e08eb51b1713872331871XYXXMenPoloCollarT-shirt1.jpg",Rs. 599,Rs. 699,,,,Organic,keyword
,Rotaqo,Boys Pack Of 2 Cotton T-shirt,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JULY/15/Tzn1q3Dt_2a3fc6865d4e4e5b931b8f38cd492022.jpg",Rs. 259,Rs. 999,,,,Organic,keyword
,HRX by Hrithik Roshan,Rapid-Dry Training T-shirt,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/SEPTEMBER/13/3CEPjc4Q_097473a67c194e1fb7b3df7c59085384.jpg",Rs. 287,Rs. 899,,,,Organic,keyword
,Allen Solly Junior,Polo Collar Cotton T-shirt,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/AUGUST/21/tflRoSgR_3b838590ad064f23ad2257ba98d9e5b5.jpg",Rs. 657,Rs. 1399,,,,Organic,keyword
,max,Printed Round Neck T-shirt,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/26/AiP0Kbqr_dfd9bd5b06f74baca71e09d4765c9b3b.jpg",Rs. 499,Rs. 599,,,,Organic,keyword
,Campus Sutra,Men Solid Cotton Polo T-shirt,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32193183/2025/1/3/20101921-9818-4aa6-be47-d4ea96af4ec51735885407991CampusSutraMenStripedPoloCollarPocketsT-shirt1.jpg",Rs. 594,Rs. 1699,,,,Organic,keyword
,BRATMA,Boys Cotton Tshirts,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/26/trTYt6E6_7a69b3300dc34302a5bd27c0fc489f6b.jpg",Rs. 398,Rs. 1499,,,,Organic,keyword
,Marks & Spencer,Girls Printed Cotton T-shirt,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29459636/2024/5/10/0671f281-9fa1-4dcb-87b6-adb15ba06fc61715282267042MarksSpencerGirlsV-NeckT-shirt1.jpg",Rs. 644,Rs. 1499,,,,Organic,keyword
,bacca bucci,Men Textured Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29974464/2024/6/17/5ac3a67a-b96c-4c58-8cdc-10d70c4835841718621151853baccabucciMenTexturedPUSneakers1.jpg",Rs. 1499,Rs. 2999,,,,Organic,keyword
,glitchez,Men Colourblocked Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/19/0Tb0oni8_7ba58b52de1b40949612a8f99a5d46d3.jpg",Rs. 689,Rs. 2299,,,,Organic,keyword
,HRX by Hrithik Roshan,Unisex Back To School Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29553912/2024/5/17/5f90bc0f-c248-4bff-8a88-54128a77c4a61715927218769HRXbyHrithikRoshanUnisexTexturedSneakers1.jpg",Rs. 924,Rs. 3699,,,,Organic,keyword
,Actual choice,Embroidered Ballerinas,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/24/1kgRFfo1_6efde60cf73b4b32ad25ed0f29ec7ce5.jpg",Rs. 489,Rs. 1999,,,,Organic,keyword
,CULT,Men Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/33384081/2025/6/28/934c2543-b352-4ccf-80a9-c3cde7847e9a1751102947074-CULT-Men-Strix-Running-Shoes----BlackBlue-4831751102946582-1.jpg",Rs. 2619,Rs. 4069,,,,Organic,keyword
,HRX by Hrithik Roshan,Unisex Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32085906/2024/12/25/c61e92aa-9d16-4fd7-8cad-c100cf3560351735143905559UnisexComfortableRunningShoes1.jpg",Rs. 869,Rs. 2999,,,,Organic,keyword
,Anouk,Men Slip-On Formal Loafers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/3/paioXPum_7bbbdd2c194546c48db078ae975e880f.jpg",Rs. 707,Rs. 2830,,,,Organic,keyword
,Red Chief,Men Leather Derby Formal Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/DECEMBER/2/0koR0QRW_8584935bf1d54275bdd911e6a95510f3.jpg",Rs. 2239,Rs. 5599,,,,Organic,keyword
,knoos,Women Suede Clogs,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2026/JANUARY/23/QhRcDjRo_c245e4e66a054f4ea97642fe15d8b47d.jpg",Rs. 772,Rs. 2499,,,,Organic,keyword
